Date,Open,High,Low,Close,GAP up/down,Range,O-C,C-C,LOD>P.Close,P.Close>High,,,
12/13/19,"3,166.65","3,182.68","3,156.51","3,168.80",-1.92,26.17,2.15,0.23,-12.06,-14.11,,,
12/16/19,"3,183.63","3,197.71","3,183.63","3,191.45",14.83,14.08,7.82,22.65,14.83,-28.91,,,
12/17/19,"3,195.40","3,198.22","3,191.03","3,192.52",3.95,7.19,-2.88,1.07,-0.42,-6.77,,,
12/18/19,"3,195.21","3,198.48","3,191.14","3,191.14",2.69,7.34,-4.07,-1.38,-1.38,-5.96,,,
12/19/19,"3,192.32","3,205.48","3,192.32","3,205.37",1.18,13.16,13.05,14.23,1.18,-14.34,,,
12/20/19,"3,223.33","3,225.65","3,216.03","3,221.22",17.96,9.62,-2.11,15.85,10.66,-20.28,,,
12/23/19,"3,226.05","3,227.78","3,222.30","3,224.01",4.83,5.48,-2.04,2.79,1.08,-6.56,,,
12/24/19,"3,225.45","3,226.43","3,220.51","3,223.38",1.44,5.92,-2.07,-0.63,-3.5,-2.42,,,
12/26/19,"3,227.20","3,240.08","3,227.20","3,239.91",3.82,12.88,12.71,16.53,3.82,-16.7,,,
12/27/19,"3,247.23","3,247.93","3,234.37","3,240.02",7.32,13.56,-7.21,0.11,-5.54,-8.02,,,
12/30/19,"3,240.09","3,240.92","3,216.57","3,221.29",0.07,24.35,-18.8,-18.73,-23.45,-0.9,,,
12/31/19,"3,215.18","3,231.72","3,212.03","3,230.78",-6.11,19.69,15.6,9.49,-9.26,-10.43,,,
1/2/20,"3,244.67","3,258.14","3,235.53","3,257.85",13.89,22.61,13.18,27.07,4.75,-27.36,,,
1/3/20,"3,226.36","3,246.15","3,222.34","3,234.85",-31.49,23.81,8.49,-23,-35.51,11.7,,,
1/6/20,"3,217.55","3,246.84","3,214.64","3,246.28",-17.3,32.2,28.73,11.43,-20.21,-11.99,,,
1/7/20,"3,241.86","3,244.91","3,232.43","3,237.18",-4.42,12.48,-4.68,-9.1,-13.85,1.37,,,
1/8/20,"3,238.59","3,267.07","3,236.67","3,253.05",1.41,30.4,14.46,15.87,-0.51,-29.89,,,
1/9/20,"3,266.03","3,275.58","3,263.67","3,274.70",12.98,11.91,8.67,21.65,10.62,-22.53,,,
1/10/20,"3,281.81","3,282.99","3,260.86","3,265.35",7.11,22.13,-16.46,-9.35,-13.84,-8.29,,,
1/13/20,"3,271.13","3,288.13","3,268.43","3,288.13",5.78,19.7,17,22.78,3.08,-22.78,,,
1/14/20,"3,285.35","3,294.25","3,277.19","3,283.15",-2.78,17.06,-2.2,-4.98,-10.94,-6.12,,,
1/15/20,"3,282.27","3,298.66","3,280.69","3,289.29",-0.88,17.97,7.02,6.14,-2.46,-15.51,,,
1/16/20,"3,302.97","3,317.11","3,302.82","3,316.81",13.68,14.29,13.84,27.52,13.53,-27.82,,,
1/17/20,"3,323.66","3,329.88","3,318.86","3,329.62",6.85,11.02,5.96,12.81,2.05,-13.07,,,
1/21/20,"3,321.03","3,329.79","3,316.61","3,320.79",-8.59,13.18,-0.24,-8.83,-13.01,-0.17,,,
1/22/20,"3,330.02","3,337.77","3,320.04","3,321.75",9.23,17.73,-8.27,0.96,-0.75,-16.98,,,
1/23/20,"3,315.77","3,326.88","3,301.87","3,325.54",-5.98,25.01,9.77,3.79,-19.88,-5.13,,,
